GridID,geometry
1,"POLYGON ((-111.96403442971423 33.320040006000056, -111.96403442971423 33.34079338842862, -111.97847462899995 33.34079338842862, -111.97847462899995 33.320040006000056, -111.96403442971423 33.320040006000056))"
2,"POLYGON ((-111.96403442971423 33.34079338842862, -111.96403442971423 33.361546770857196, -111.97847462899995 33.361546770857196, -111.97847462899995 33.34079338842862, -111.96403442971423 33.34079338842862))"
3,"POLYGON ((-111.96403442971423 33.361546770857196, -111.96403442971423 33.38230015328576, -111.97847462899995 33.38230015328576, -111.97847462899995 33.361546770857196, -111.96403442971423 33.361546770857196))"
4,"POLYGON ((-111.96403442971423 33.38230015328576, -111.96403442971423 33.40305353571433, -111.97847462899995 33.40305353571433, -111.97847462899995 33.38230015328576, -111.96403442971423 33.38230015328576))"
5,"POLYGON ((-111.96403442971423 33.40305353571433, -111.96403442971423 33.423806918142894, -111.97847462899995 33.423806918142894, -111.97847462899995 33.40305353571433, -111.96403442971423 33.40305353571433))"
6,"POLYGON ((-111.96403442971423 33.423806918142894, -111.96403442971423 33.44456030057147, -111.97847462899995 33.44456030057147, -111.97847462899995 33.423806918142894, -111.96403442971423 33.423806918142894))"
7,"POLYGON ((-111.94959423042852 33.320040006000056, -111.94959423042852 33.34079338842862, -111.96403442971423 33.34079338842862, -111.96403442971423 33.320040006000056, -111.94959423042852 33.320040006000056))"
8,"POLYGON ((-111.94959423042852 33.34079338842862, -111.94959423042852 33.361546770857196, -111.96403442971423 33.361546770857196, -111.96403442971423 33.34079338842862, -111.94959423042852 33.34079338842862))"
9,"POLYGON ((-111.94959423042852 33.361546770857196, -111.94959423042852 33.38230015328576, -111.96403442971423 33.38230015328576, -111.96403442971423 33.361546770857196, -111.94959423042852 33.361546770857196))"
10,"POLYGON ((-111.94959423042852 33.38230015328576, -111.94959423042852 33.40305353571433, -111.96403442971423 33.40305353571433, -111.96403442971423 33.38230015328576, -111.94959423042852 33.38230015328576))"
11,"POLYGON ((-111.94959423042852 33.40305353571433, -111.94959423042852 33.423806918142894, -111.96403442971423 33.423806918142894, -111.96403442971423 33.40305353571433, -111.94959423042852 33.40305353571433))"
12,"POLYGON ((-111.94959423042852 33.423806918142894, -111.94959423042852 33.44456030057147, -111.96403442971423 33.44456030057147, -111.96403442971423 33.423806918142894, -111.94959423042852 33.423806918142894))"
13,"POLYGON ((-111.94959423042852 33.44456030057147, -111.94959423042852 33.46531368300003, -111.96403442971423 33.46531368300003, -111.96403442971423 33.44456030057147, -111.94959423042852 33.44456030057147))"
14,"POLYGON ((-111.9351540311428 33.320040006000056, -111.9351540311428 33.34079338842862, -111.94959423042852 33.34079338842862, -111.94959423042852 33.320040006000056, -111.9351540311428 33.320040006000056))"
15,"POLYGON ((-111.9351540311428 33.34079338842862, -111.9351540311428 33.361546770857196, -111.94959423042852 33.361546770857196, -111.94959423042852 33.34079338842862, -111.9351540311428 33.34079338842862))"
16,"POLYGON ((-111.9351540311428 33.361546770857196, -111.9351540311428 33.38230015328576, -111.94959423042852 33.38230015328576, -111.94959423042852 33.361546770857196, -111.9351540311428 33.361546770857196))"
17,"POLYGON ((-111.9351540311428 33.38230015328576, -111.9351540311428 33.40305353571433, -111.94959423042852 33.40305353571433, -111.94959423042852 33.38230015328576, -111.9351540311428 33.38230015328576))"
18,"POLYGON ((-111.9351540311428 33.40305353571433, -111.9351540311428 33.423806918142894, -111.94959423042852 33.423806918142894, -111.94959423042852 33.40305353571433, -111.9351540311428 33.40305353571433))"
19,"POLYGON ((-111.9351540311428 33.423806918142894, -111.9351540311428 33.44456030057147, -111.94959423042852 33.44456030057147, -111.94959423042852 33.423806918142894, -111.9351540311428 33.423806918142894))"
20,"POLYGON ((-111.9351540311428 33.44456030057147, -111.9351540311428 33.46531368300003, -111.94959423042852 33.46531368300003, -111.94959423042852 33.44456030057147, -111.9351540311428 33.44456030057147))"
21,"POLYGON ((-111.9207138318571 33.320040006000056, -111.9207138318571 33.34079338842862, -111.9351540311428 33.34079338842862, -111.9351540311428 33.320040006000056, -111.9207138318571 33.320040006000056))"
22,"POLYGON ((-111.9207138318571 33.34079338842862, -111.9207138318571 33.361546770857196, -111.9351540311428 33.361546770857196, -111.9351540311428 33.34079338842862, -111.9207138318571 33.34079338842862))"
23,"POLYGON ((-111.9207138318571 33.361546770857196, -111.9207138318571 33.38230015328576, -111.9351540311428 33.38230015328576, -111.9351540311428 33.361546770857196, -111.9207138318571 33.361546770857196))"
24,"POLYGON ((-111.9207138318571 33.38230015328576, -111.9207138318571 33.40305353571433, -111.9351540311428 33.40305353571433, -111.9351540311428 33.38230015328576, -111.9207138318571 33.38230015328576))"
25,"POLYGON ((-111.9207138318571 33.40305353571433, -111.9207138318571 33.423806918142894, -111.9351540311428 33.423806918142894, -111.9351540311428 33.40305353571433, -111.9207138318571 33.40305353571433))"
26,"POLYGON ((-111.9207138318571 33.423806918142894, -111.9207138318571 33.44456030057147, -111.9351540311428 33.44456030057147, -111.9351540311428 33.423806918142894, -111.9207138318571 33.423806918142894))"
27,"POLYGON ((-111.9207138318571 33.44456030057147, -111.9207138318571 33.46531368300003, -111.9351540311428 33.46531368300003, -111.9351540311428 33.44456030057147, -111.9207138318571 33.44456030057147))"
28,"POLYGON ((-111.90627363257138 33.320040006000056, -111.90627363257138 33.34079338842862, -111.9207138318571 33.34079338842862, -111.9207138318571 33.320040006000056, -111.90627363257138 33.320040006000056))"
29,"POLYGON ((-111.90627363257138 33.34079338842862, -111.90627363257138 33.361546770857196, -111.9207138318571 33.361546770857196, -111.9207138318571 33.34079338842862, -111.90627363257138 33.34079338842862))"
30,"POLYGON ((-111.90627363257138 33.361546770857196, -111.90627363257138 33.38230015328576, -111.9207138318571 33.38230015328576, -111.9207138318571 33.361546770857196, -111.90627363257138 33.361546770857196))"
31,"POLYGON ((-111.90627363257138 33.38230015328576, -111.90627363257138 33.40305353571433, -111.9207138318571 33.40305353571433, -111.9207138318571 33.38230015328576, -111.90627363257138 33.38230015328576))"
32,"POLYGON ((-111.90627363257138 33.40305353571433, -111.90627363257138 33.423806918142894, -111.9207138318571 33.423806918142894, -111.9207138318571 33.40305353571433, -111.90627363257138 33.40305353571433))"
